srBTL	srLTB	Human
38	42	26
109	40	30
42	43	30
57	47	32
92	57	32
92	51	33
68	44	34
64	45	34
57	50	34
91	50	34
47	39	34
46	40	34
61	41	34
49	41	34
99	44	34
64	42	34
49	41	34
151		34
20		35
48		35
52		35
45		35
59		35
49		35
61		35
45		35
31		35
52		35
30		35
72		35
99		35
29		35
36		35
36		35
36		35
48		35
75		35
47		35
49		35
41		35
52		36
51		36
58		36
71		36
50		36
35		36
44		36
45		36
31		36
44		36
		36
		36
		36
		36
		36
		36
		36
		36
		36
		36
		36
		36
		36
		36
		36
		36
		36
		36
		36
		36
		36
		36
		36
		36
		37
		37
		37
		37
		37
		37
		37
		37
		37
		37
		37
		37
		37
		37
		37
		37
		37
		37
		37
		37
		37
		37
		37
		37
		37
		37
		37
		37
		37
		37
		37
		37
		37
		37
		37
		37
		37
		37
		37
		37
		37
		37
		37
		37
		37
		38
		38
		38
		38
		38
		38
		38
		38
		38
		38
		38
		38
		38
		38
		38
		38
		38
		38
		38
		38
		38
		38
		38
		38
		38
		38
		38
		38
		38
		38
		38
		38
		38
		38
		38
		38
		38
		38
		38
		38
		38
		38
		38
		38
		38
		38
		38
		38
		38
		38
		39
		39
		39
		39
		39
		39
		39
		39
		39
		39
		39
		39
		39
		39
		39
		39
		39
		39
		39
		39
		39
		39
		39
		39
		39
		39
		39
		39
		39
		39
		39
		39
		39
		39
		40
		40
		40
		40
		40
		40
		40
		40
		40
		40
		40
		40
		40
		40
		40
		40
		40
		40
		40
		40
		40
		41
		41
		41
		41
		41
		41
		41
		41
		41
		41
		41
		41
		41
		41
		41
		41
		41
		42
		42
		42
		42
		42
		42
		42
		42
		42
		42
		42
		42
		42
		42
		42
		42
		43
		43
		43
		43
		43
		43
		43
		43
		43
		43
		43
		43
		43
		44
		44
		44
		45
		45
		45
		45
		46
		46
		47
		48
		48
		50
		51
		52
		52
		54
		54
		54
		56
		57
		57
		58
		59
		64
		65
		68
