miR159a	AT1G73687
miR172	AT5G04275
miR164c	AT5G27807
miR319a	AT4G23713
miR156a	AT2G25095
miR156b	AT4G30972
miR156c	AT4G31877
miR156d	AT5G10945
miR156e	AT5G11977
miR156f	AT5G26147
miR156g	AT2G19425
miR156h	AT5G55835
miR157a	AT1G66783
miR157b	AT1G66795
miR157c	AT3G18217
miR157d	AT1G48742
miR158a	AT3G10745
miR158b	AT1G55591
miR159b	AT1G18075
miR159c	AT2G46255
miR160b	AT4G17788
miR160c	AT5G46845
miR161	AT1G48267
miR162a	AT5G08185
miR162a	AT5G08185
miR162a	AT5G08185
miR162b	AT5G23065
miR163	AT1G66725
miR164a	AT2G47585
miR164b	AT5G01747
miR165a	AT1G01183
miR165b	AT4G00885
miR166a	AT2G46685
miR166b	AT3G61897
miR166c	AT5G08712
miR166d	AT5G08717
miR166e	AT5G41905
miR166f	AT5G43603
miR166g	AT5G63715
miR167a	AT3G22886
miR167b	AT3G63375
miR167c	AT3G04765
miR167d	AT1G31173
miR168a	AT4G19395
miR168b	AT5G45307
miR169a	AT3G13405
miR169b	AT5G24825
miR169c	AT5G39635
miR169d	AT1G53683
miR169e	AT1G53687
miR169f	AT3G14385
miR169g	AT4G21595
miR169h	AT1G19371
miR169I	AT3G26812
miR169J	AT3G26813
miR169K	AT3G26815
miR169L	AT3G26816
miR169M	AT3G26818
miR169N	AT3G26819
miR170	AT5G66045
miR171a	AT3G51375
miR171b	AT1G11735
miR171c	AT1G62035
miR172a	AT2G28056
miR172c	AT3G11435
miR172d	AT3G55512
miR172e	AT5G59505
miR173	AT3G23125
miR319b	AT5G41663
miR319c	AT2G40805
miR390a	AT2G38325
miR390b	AT5G58465
miR391	AT5G60408
miR393a	AT2G39885
miR393b	AT3G55734
miR394a	AT1G20375
miR394b	AT1G76135
miR395a	AT1G26973
miR395b	AT1G26975
miR395c	AT1G26985
miR395d	AT1G69792
miR395e	AT1G69795
miR395f	AT1G69797
miR396a	AT2G10606
miR396b	AT5G35407
miR397a	AT4G05105
miR397b	AT4G13555
miR398a	AT2G03445
miR398b	AT5G14545
miR398c	AT5G14565
miR399	AT2G34208
miR399a	AT1G29265
miR399b	AT1G63005
miR399c	AT5G62162
miR399d	AT2G34202
miR399e	AT2G34204
miR400	AT1G32582
miR401	AT4G08116
miR402	AT1G77235
miR403	AT2G47275
miR404	AT1G31358
miR405a	AT2G22668
miR405b	AT5G50717
miR405d	AT4G05508
miR406	AT1G52185
miR407	AT2G32698
miR408	AT2G47015
miR413	AT1G62355
miR414	AT1G67195
miR414	AT1G67195
miR416	AT2G16145
miR417	AT2G32273
miR418	AT3G18895
miR419	AT4G32445
miR420	AT5G62848
miR426	AT1G60025
miR447a	AT4G03445
miR447b	AT4G03455
miR447c	AT4G03438
miR472a	AT1G12294
miR771a	AT3G53015
miR773	AT1G35501
miR774a	AT1G60073
miR775a	AT1G78206
miR776a	AT1G61732
miR777a	AT1G70645
miR778a	AT2G41616
miR779a	AT2G22496
miR780a	AT4G14811
miR781a	AT1G21202
miR822a	AT5G03552
miR823a	AT3G13724
miR824a	AT4G24415
miR824a	AT4G24415
miR824a	AT4G24415
miR825a	AT2G26211
miR826a	AT4G03039
miR827a	AT3G59884
miR828	AT4G27765
miR829a	AT1G32713
miR830a	AT1G14071
miR831a	AT2G24103
miR832a	AT4G10345
miR833a	AT1G78478
miR834a	AT5G08210
miR835a	AT1G76062
miR836a	AT2G25011
miR837a	AT1G18879
miR838a	AT1G01046
miR839a	AT1G67481
miR840a	AT2G02741
miR841a	AT4G13564
miR842a	AT1G61224
miR843a	AT3G48057
miR844a	AT2G23347
miR845a	AT4G23387
miR845b	AT4G23375
miR846a	AT1G61226
miR847a	AT1G07051
miR848a	AT5G13887
miR849a	AT3G44444
miR850a	AT4G13493
miR851a	AT3G53016
miR852a	AT4G14504
miR853a	AT3G23326
miR856a	AT1G32992
miR857a	AT4G13554
miR858a	AT1G71002
miR859a	AT1G60072
miR860a	AT5G26038
miR861a	AT3G48201
miR862a	AT2G25171
miR863a	AT4G13494
miR864a	AT1G19464
miR865a	AT5G15833
miR866a	AT5G40384
miR867a	AT4G21362
miR868a	AT3G18827
miR869a	AT5G39693
miR870a	AT5G52797
miR160	AT2G39175
